time,ppg_1_green,ppg_1_red,ppg_1_ir,ppg_2_green,ppg_2_red,ppg_2_ir
0.0,0.49399839881054636,0.7898020431202247,0.7425103430726065,0.4342551939837569,0.5206253781004114,0.34660001186735884
0.005,0.5227663105266377,0.8380873775953376,0.7815471462964911,0.40867542036814536,0.5433645906684055,0.32187410349934376
0.01,0.4989158189243979,0.7854020269918527,0.7409797164704226,0.43711330555429223,0.5206037905934876,0.3499225730620946
0.015,0.48512366939252266,0.7616309130988619,0.720347893795799,0.45112550839496457,0.5097853659634536,0.3630127483965399
0.02,0.4989114172128388,0.7940314153831635,0.7436758846958723,0.43593557908216685,0.5234535358107848,0.3462170214977199
0.025,0.5092966044020081,0.8125803292319257,0.7575751234285282,0.42818755294626876,0.5302720705795495,0.33672502878722066
0.03,0.5031048393265133,0.7935037271691286,0.7420618019409353,0.43986449804977645,0.5196733536302581,0.34757749979369906
0.035,0.5000137329629974,0.7828404721837213,0.7336027889224488,0.4461315738527851,0.5133377886693966,0.3534611889974446
0.04,0.508750595603931,0.7980793685727097,0.7480750347214659,0.43831247823018993,0.5196311904344264,0.34404553148546124
0.045,0.5144252418764134,0.8059709650203396,0.7581198788662756,0.43528482211967234,0.522189646889495,0.3380174368419133
0.05,0.5106123332840494,0.7953310699609147,0.7508606805852929,0.44308879519043826,0.5150503112486516,0.3429937125450099
0.055,0.5086915644905053,0.7924175972472238,0.7469945885086716,0.4462317390674268,0.5123848851515462,0.3444073397416734
0.06,0.513072541001404,0.8026713178822569,0.7556543804183975,0.4405794755763927,0.5193744437501062,0.3375950267248921
0.065,0.5151255314230035,0.8024517713202094,0.7598448574267437,0.4394354315415445,0.5234826389951006,0.3355491950064595
0.07,0.5128886382645622,0.7898079471085097,0.7534335913705015,0.4454737913345742,0.5193209471857013,0.3414487100082063
0.075,0.5137514457794363,0.7881740827917986,0.751564539735274,0.4468344390748374,0.5172161916815813,0.3434974135822509
0.08,0.5180230273215568,0.7999287029737726,0.7590638761890456,0.44194573324712366,0.5225513014856391,0.339500589472565
0.085,0.5193584279494148,0.8041880694394234,0.7630246901548424,0.4418542739688029,0.527520995084992,0.3402942990981355
0.09,0.5190690708785443,0.798414377245383,0.7597412828224253,0.44780396456326077,0.527422531162406,0.34729216391648915
0.095,0.5227863429374323,0.7996796017724218,0.7592483158182745,0.44987930996436154,0.527612105535312,0.35019691127675084
0.1,0.5273100764668512,0.8087784137884076,0.7627765224842659,0.44718312168594476,0.5311417934608248,0.34773071177537856
0.105,0.526692713192158,0.8114167353094939,0.7623118236966472,0.4483338824536233,0.534173472585796,0.34930911793965536
0.11,0.5253924341779527,0.8091924171969546,0.760511740532098,0.4534381972699168,0.5356259147256854,0.3560844440928112
0.115,0.5302201538866411,0.8145325780003029,0.7664167837306297,0.4546898514018559,0.5389286558069575,0.3597391817703217
0.12,0.5365247268904828,0.8223612509458106,0.775104877600285,0.45266526630615844,0.5435818759008078,0.3595021732027989
0.125,0.537191666225083,0.819018744624984,0.7747704112080924,0.45453565248774525,0.5457617929946188,0.36258915642000983
0.13,0.5369969529502836,0.8106332434342708,0.7690700215594496,0.4590010227985659,0.5465697259283756,0.3689375538720362
0.135,0.5430742993114441,0.8128241410515896,0.7704933529178892,0.4592045707316147,0.5500312775206632,0.3718499182038393
0.14,0.5499960027122314,0.8219635871751053,0.777422504178375,0.4571583052754429,0.5548883479118684,0.37208730535757323
0.145,0.5495397054567911,0.8242104806549236,0.7788719547319128,0.4601283994668761,0.5573777108405862,0.37627408915981564
0.15,0.5464906106456008,0.8220793051427311,0.7757685592023832,0.46645807476363005,0.5592213371996924,0.38349197647623723
0.155,0.5495520257583355,0.8259981695787628,0.7773267366472506,0.4690515204968136,0.5641768163350404,0.3872997998165091
0.16,0.555110061926069,0.8312315741596837,0.7824101865690668,0.46888139015210684,0.5701223606452356,0.3883779001911275
0.165,0.5550854842968311,0.8279894473754631,0.7832977982481392,0.47195092127610144,0.5729546729023135,0.3923639274495586
0.17,0.5527621778514286,0.8226897286413263,0.7818171262956058,0.4771120542133308,0.5746123073212016,0.3982690392948066
0.175,0.5559997110487935,0.8261824093918244,0.7845287201592765,0.4790528733472898,0.5791682337826773,0.4009537978803881
0.18,0.5622461627307158,0.8328232678033283,0.7884130558192599,0.4790305867124786,0.5847719025277027,0.40167640996003107
0.185,0.5645259907963252,0.8323029189108583,0.787211482903983,0.48156275000897913,0.5871610086977184,0.40519781593536797
0.19,0.5653042342013261,0.8296720295906733,0.7850448585843555,0.48502627041167595,0.5874755194918839,0.4101207765469962
0.195,0.5708089474793948,0.8339489043052999,0.78897460165449,0.4855737638633993,0.5894786439466324,0.4121424034694293
0.2,0.5780278430779818,0.8397244813234019,0.7952315801442137,0.4854608519579168,0.5926407439892742,0.4128410898807574
0.205,0.5801626123674967,0.8384942618009368,0.7964893601153916,0.48829616118044067,0.5944196372379557,0.4160555734657172
0.21,0.5792166150999328,0.8355053603031923,0.7953727714527637,0.49127429844359743,0.5957815292619957,0.41997533712420176
0.215,0.5815395888614702,0.838582009052106,0.7980929891016079,0.4906182966782762,0.59866585594391,0.4212615721121485
0.22,0.5863767414412034,0.842982497299433,0.8022945346461062,0.48926303220978234,0.6016020802130387,0.42224534832717836
0.225,0.5892957028648581,0.8423516601185997,0.8030010293153226,0.4912946855087801,0.6029523826002757,0.4262556800780436
0.23,0.5914873704096862,0.841659843818958,0.8030746910107699,0.49438831919227133,0.6047558890039003,0.4308475346005209
0.235,0.5961246121750694,0.8458088105465726,0.8070313109149096,0.49498049306011027,0.6088139913988975,0.43280122960137224
0.24,0.6008321167591175,0.8487392664237053,0.8118906053407988,0.4951966808105669,0.612816484670377,0.43451136029220655
0.245,0.6023010684748544,0.8459898052279385,0.8136261063230024,0.49797243326924023,0.6144256596957841,0.4388317817732724
0.25,0.6031794002187493,0.8446637665555056,0.8151561568365001,0.5010359721338782,0.6153456747027748,0.44315459274601693
0.255,0.6070674930011976,0.8502232583052163,0.8196824338732752,0.5017926434021358,0.6177700918499309,0.4447240238563039
0.26,0.6120322076423941,0.8567908410308902,0.8239102254100371,0.5025063576633605,0.620668054498334,0.44612877809959306
0.265,0.6152548770781503,0.8595412127800239,0.8251037105534476,0.5053141695163845,0.6227033113953314,0.4499055881568233
