time,ecg
0.0,0.38790374655694465
0.005,0.38828362291463
0.01,0.3885409391636363
0.015,0.39005675341355267
0.02,0.39139220026182886
0.025,0.3920814275438261
0.03,0.3923064542568838
0.035,0.39217022147366243
0.04,0.39191093317501774
0.045,0.3916378192206106
0.05,0.39128928001355656
0.055,0.39089058987509645
0.06,0.39056038100955415
0.065,0.39046737607565096
0.07,0.39058752138005465
0.075,0.39057319816850083
0.08,0.39018224689682907
0.085,0.3894460496534116
0.09,0.38846596371619113
0.095,0.38760931300920204
0.1,0.38755362386117975
0.105,0.38879661372588037
0.11,0.39141979771188884
0.115,0.3950770559885961
0.12,0.39893863295455345
0.125,0.4020598993748362
0.13,0.4039161030301389
0.135,0.4045125465321443
0.14,0.40430325027792213
0.145,0.40399782220167857
0.15,0.4041169782437382
0.155,0.4046254549081458
0.16,0.4048831095285466
0.165,0.4040426202779884
0.17,0.4018542807198232
0.175,0.3990040469655393
0.18,0.3964679286524522
0.185,0.39477862841294237
0.19,0.39392001781361835
0.195,0.39354362796704484
0.2,0.3931963295461473
0.205,0.39252020125491033
0.21,0.39142048408401303
0.215,0.39016671218300497
0.22,0.38922344056601765
0.225,0.38885684463343806
0.23,0.38900286122656397
0.235,0.38955702392314473
0.24,0.39066215122067666
0.245,0.39256457068020967
0.25,0.3950966155874535
0.255,0.39729340906868565
0.26,0.3975134555457651
0.265,0.3943001173436638
0.27,0.38826205587895685
0.275,0.38392980660343223
0.28,0.3891300773058109
0.285,0.41084780790496067
0.29,0.4494196130700822
0.295,0.4950489642239412
0.3,0.5308461767898821
0.305,0.5418137436689214
0.31,0.5230867720125515
0.315,0.482131311143565
0.32,0.4349484773601561
0.325,0.39800804563895803
0.33,0.3797679965235111
0.335,0.3779813702289036
0.34,0.38399860612328257
0.345,0.38914216971630594
0.35,0.3892934955930685
0.355,0.3858945888598506
0.36,0.382640359050685
0.365,0.38133568125884926
0.37,0.38127550604074756
0.375,0.38121341499098976
0.38,0.38077137211669565
0.385,0.3804565010906891
0.39,0.38078091016772975
0.395,0.38160450962107906
0.4,0.38251088372390823
0.405,0.3832668192205811
0.41,0.38378510046116204
0.415,0.38424070232539337
0.42,0.3850050096179001
0.425,0.3861603905568044
0.43,0.38753211924534353
0.435,0.38898831827004227
0.44,0.3902669897151913
0.445,0.39104459737822417
0.45,0.3913707999617937
0.455,0.3915761741290664
0.46,0.39188159795223176
0.465,0.3922807682502491
0.47,0.3926077611499253
0.475,0.3928052577080266
0.48,0.39311015456350645
0.485,0.39380025196924173
0.49,0.3949874731560177
0.495,0.3966230870553584
0.5,0.3984046750065846
0.505,0.39995584690346536
0.51,0.40118542565358806
0.515,0.4021245043878272
0.52,0.4027190915322972
0.525,0.40307343774699
0.53,0.40347426501065364
0.535,0.40416899066622974
0.54,0.4053435579163729
0.545,0.4069431826180953
0.55,0.40843685475948177
0.555,0.40907866111242375
0.56,0.40832451356038085
0.565,0.406118582311321
0.57,0.4031381461397428
0.575,0.4004881937357804
0.58,0.3988341692722483
0.585,0.39793795562753487
0.59,0.3969327259724145
0.595,0.3949902867949456
0.6,0.3920063894678977
0.605,0.38871626152801636
0.61,0.386190546667901
0.615,0.38531581117047087
0.62,0.38633826122751236
0.625,0.3885491748818463
0.63,0.3907173420851338
0.635,0.39198563584318163
0.64,0.3922267933794228
0.645,0.3917657921267628
0.65,0.39103226934750285
0.655,0.39041887513884665
0.66,0.3902516177277751
0.665,0.39063027266469635
0.67,0.39130799932301147
0.675,0.3919613276956738
0.68,0.39245931159664615
0.685,0.392745016987272
0.69,0.3927694056985986
0.695,0.39261539028839737
0.7,0.39243813736504973
0.705,0.3923423498086982
0.71,0.39239572359550867
0.715,0.39261406382282005
0.72,0.39293275297462454
0.725,0.3932272347937966
0.73,0.39334253990845375
0.735,0.39321299443758606
0.74,0.3929226777503403
0.745,0.39256229158690253
0.75,0.3922192976853853
0.755,0.3920886659812563
0.76,0.39229539628202126
0.765,0.392712450530487
0.77,0.3931616833685216
0.775,0.3936268014871873
0.78,0.39419479875303653
0.785,0.39491448046590044
0.79,0.39573698113560474
0.795,0.396586965673781
0.8,0.3973783363808987
0.805,0.3978593475013428
0.81,0.39771008553097076
0.815,0.39694028433485873
0.82,0.39590471028161556
0.825,0.3948866298916223
0.83,0.39386843024216783
0.835,0.3926528858268953
0.84,0.39117633566016324
0.845,0.3897765741333846
0.85,0.38908024728053947
0.855,0.3896395711083531
0.86,0.39165726096706815
0.865,0.3947938494089141
0.87,0.3982228838851171
0.875,0.4010697567019614
0.88,0.4028154952390386
0.885,0.40351955607418377
