time,ppg_1_green,ppg_1_red,ppg_1_ir,ppg_2_green,ppg_2_red,ppg_2_ir
0.0,0.6029305033627402,0.2802207421911419,0.39586583125645985,0.6152209931868994,1.0,0.7852040339537935
0.005,0.6408243726532925,0.24288321538327148,0.3867254125581923,0.6131482273558821,1.064427042478614,0.795610454813475
0.01,0.5892214892827766,0.28915333328585774,0.3763984988089294,0.621346498272559,0.9716499079312104,0.752263235562056
0.015,0.5542990809236166,0.30880670348747014,0.368577327253966,0.6250407164312174,0.9077279348502726,0.7109887353861825
0.02,0.5683273389997252,0.27951506749450145,0.3649222689245112,0.6200565389662822,0.9218993274439499,0.6888614896524433
0.025,0.5795613558424593,0.2604039617837774,0.36250980203301697,0.6150793594035014,0.9169137442370728,0.6574372186561358
0.03,0.5611905875522157,0.26968921729060813,0.35771460778904596,0.6155020457731826,0.8492771186254329,0.6019721098537016
0.035,0.5454183737060541,0.26743205866683734,0.35175281616692644,0.6157272895318687,0.7835356554710006,0.5418346709791361
0.04,0.5528521627511368,0.24365544326872238,0.34883593079304037,0.6087856096086713,0.7569937378478536,0.4920579566150402
0.045,0.5598189853186173,0.23435345395550625,0.34912439644937543,0.5952648933289444,0.725585777056955,0.4433301619323439
0.05,0.5486024869764364,0.24826886384595356,0.3479382083965002,0.5797816105952766,0.6637314178460242,0.38866716861296
0.055,0.536330333090601,0.25195926700016036,0.34301817304965554,0.5643594373734997,0.611168441953934,0.34003278686610466
0.06,0.5377481734754762,0.23520941566577,0.3380905870559863,0.5484710039446432,0.5922375608991575,0.3070202010544376
0.065,0.5406534778266603,0.22744803487069587,0.33691772488677046,0.5320393663896951,0.5746881097917829,0.28153817141263454
0.07,0.5339580342886642,0.23919335129388697,0.33780095113410136,0.5158400780295102,0.5382382976950358,0.2548183265980036
0.075,0.5271725583819388,0.24414863703083176,0.33710381120215877,0.5007914621888471,0.5116151268688202,0.2318317834585168
0.08,0.5281357353676434,0.23140413185923753,0.3347811405398167,0.4877528355926192,0.5121332264305489,0.21849053842292096
0.085,0.5285935808264997,0.22422790615109295,0.3327207997793255,0.4764412596673777,0.5111860778733234,0.20922016032438717
0.09,0.5235553118397501,0.23385166181946765,0.3305932899986361,0.4649623534356834,0.4889359551497936,0.19723950028096426
0.095,0.5215469669657637,0.24073670220227203,0.3276644823495915,0.4525428501385349,0.4689144216170488,0.18572645986807135
0.1,0.5260148702482134,0.2350128986614408,0.32631997311989275,0.4417025855244194,0.4703677941727857,0.18000778010982207
0.105,0.5274653366177801,0.23305060644203524,0.32884506776229344,0.4349101174789905,0.47434274311283153,0.17780139087665411
0.11,0.5220203861103497,0.24073181145801967,0.3322520491671753,0.4302997258708645,0.4639145626211333,0.17463789760534135
0.115,0.5185890594566936,0.24030068518473635,0.3316310674579646,0.42426603918481953,0.4551796202807397,0.1716037266052061
0.12,0.5211274960446245,0.22725678235895905,0.32802203802583685,0.4173426768997694,0.46245467050140904,0.17169230632008223
0.125,0.522019290127812,0.2224906047328644,0.32740144996840426,0.41328079902745973,0.47072100614468115,0.1743557375765396
0.13,0.5186200667709631,0.23373553813497658,0.33141946459528676,0.4125704372453425,0.4668072642625812,0.17786615261941408
0.135,0.5186409354854529,0.24081849225123086,0.33474674645682956,0.4114444588030825,0.4639534301864493,0.18198972268459765
0.14,0.5237730432398442,0.23357475149529908,0.33330922028166515,0.40806621199804805,0.47350568963368544,0.18617977080906845
0.145,0.5250064472588858,0.22969940849660067,0.33001079226030544,0.40547506271008876,0.483570840903125,0.19044955348905576
0.15,0.5196502588584423,0.23932138509936854,0.32952654348889887,0.4068313101727798,0.48558834562965425,0.19850996775045548
0.155,0.517086129903989,0.24533626341532005,0.3318035997449178,0.41114852021874243,0.4921780393682238,0.2135724193015495
0.16,0.5223134364466229,0.23681728206254185,0.3342446018650511,0.4154829735557645,0.5100506439915758,0.23113433176496764
0.165,0.5284696873419464,0.23098305932279062,0.336725534784799,0.41861880689022757,0.5240631819172604,0.24339624076752997
0.17,0.5304583649178274,0.2419317264198194,0.3401600119763555,0.4209600232492011,0.5260655137502849,0.2507001095650881
0.175,0.5321808686045545,0.25467088094395035,0.3425954790576516,0.42308801774591165,0.5316365231102044,0.2603357434103854
0.18,0.5359996812298453,0.2512090875067985,0.34158139351279654,0.42590613300952146,0.550487682881152,0.2740350086020813
0.185,0.5381794699792143,0.23979554383550356,0.3394591713071971,0.43024077272447764,0.5673114785596755,0.2859788548960091
0.19,0.5385868425721337,0.23799817060553627,0.34167542510422383,0.435092270270865,0.5700987028790117,0.2941874210892695
0.195,0.5424344479083671,0.245491929879593,0.34943991594245305,0.4381357031488481,0.5718377940013771,0.3040922273347035
0.2,0.549214965246779,0.2518989988072688,0.3578488588335356,0.43893744762076087,0.5856815736593896,0.31836131903840237
0.205,0.5519699433691284,0.25551508283509444,0.3623331400160189,0.43976242757297734,0.6024043242070847,0.3323661304030557
0.21,0.5501198329113105,0.2581711770297325,0.36379278379225205,0.44226555547417346,0.6108681687005046,0.34306081303835956
0.215,0.5510984933847534,0.2558280999383337,0.3657907116163597,0.4453978479633275,0.6187067717869909,0.3540381449613687
0.22,0.557056299932357,0.2482194718717062,0.36934892246767576,0.4476704129026972,0.6343910829305778,0.3680890627292352
